epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,21718.2,inf,0.15853,0.89943,0.7153,0.78659,0.82633,0.82632,0.16909,0.77873,0.3077,0.0031195,0.0031195,0.0031195
141,21970.7,0.02384,0.16087,0.9004,0.7197,0.78015,0.82615,0.82614,0.16852,0.78088,0.30687,0.00307,0.00307,0.00307
142,22223.1,inf,0.15687,0.89884,0.71017,0.79415,0.82563,0.82562,0.1677,0.78282,0.30597,0.0030205,0.0030205,0.0030205
143,22475.1,0.0235,0.15056,0.89909,0.71008,0.79182,0.82558,0.82557,0.16699,0.78508,0.30535,0.002971,0.002971,0.002971
144,22727.5,0.02345,0.15006,0.89833,0.71042,0.78988,0.8254,0.82539,0.16631,0.78705,0.30477,0.0029215,0.0029215,0.0029215
145,22979.8,0.02355,0.14644,0.89973,0.72028,0.77623,0.82481,0.8248,0.16554,0.78867,0.30394,0.002872,0.002872,0.002872
146,23231.6,0.02227,0.14633,0.89847,0.71401,0.78552,0.82486,0.82485,0.16508,0.79061,0.30345,0.0028225,0.0028225,0.0028225
147,23482.6,0.02269,0.13872,0.89606,0.7126,0.78674,0.8245,0.8245,0.16434,0.79242,0.3026,0.002773,0.002773,0.002773
148,23735.4,0.0219,0.13557,0.89979,0.71416,0.78576,0.82409,0.82408,0.16357,0.79462,0.30183,0.0027235,0.0027235,0.0027235
149,23987.4,0.02296,0.1366,0.89807,0.71363,0.78646,0.82373,0.82372,0.16317,0.79688,0.30137,0.002674,0.002674,0.002674
150,24239.6,0.02241,0.13272,0.89931,0.71449,0.78435,0.8237,0.82369,0.1626,0.79907,0.30076,0.0026245,0.0026245,0.0026245
151,24491.9,0.02271,0.13305,0.89821,0.71512,0.78204,0.82354,0.82353,0.16206,0.80148,0.30027,0.002575,0.002575,0.002575
152,24744.3,0.02238,0.12224,0.89808,0.71771,0.77441,0.82284,0.82283,0.16182,0.8044,0.30005,0.0025255,0.0025255,0.0025255
153,24996.5,0.02281,0.12324,0.89852,0.70958,0.78974,0.82252,0.82251,0.16167,0.80772,0.29978,0.002476,0.002476,0.002476
154,25248.8,0.02264,0.122,0.89766,0.70871,0.7907,0.82238,0.82238,0.16148,0.81125,0.29945,0.0024265,0.0024265,0.0024265
155,25501.1,0.02234,0.12566,0.89879,0.70755,0.78763,0.82196,0.82195,0.16142,0.81406,0.29928,0.002377,0.002377,0.002377
156,25753.6,0.02219,0.11588,0.89694,0.70657,0.78866,0.82168,0.82167,0.16109,0.81718,0.29889,0.0023275,0.0023275,0.0023275
157,26006.4,0.02117,0.10956,0.89751,0.70721,0.7872,0.82118,0.82118,0.16061,0.82035,0.29834,0.002278,0.002278,0.002278
158,26258,0.02284,0.10811,0.89796,0.70789,0.78567,0.82093,0.82093,0.16001,0.82294,0.29768,0.0022285,0.0022285,0.0022285
159,26510.5,0.02185,0.09995,0.90075,0.70639,0.78606,0.82059,0.82059,0.15921,0.82538,0.297,0.002179,0.002179,0.002179
160,26762.8,0.0231,0.10727,0.89782,0.70449,0.78882,0.82054,0.82054,0.15883,0.82805,0.29677,0.0021295,0.0021295,0.0021295
